Index,cluster,type_category,avg_rating
0,-1.0,,4.380327868852460
1,-1.0,Automotive,4.3
2,-1.0,Education,4.0
3,-1.0,Finance,3.748
4,-1.0,Food_Beverage,4.3625
5,-1.0,Healthcare,4.335294117647060
6,-1.0,Professional_serv,4.540000000000000
7,-1.0,Real_Estate,5.0
8,-1.0,Retail_Shopping,4.4
9,-1.0,Tourism,4.314893617021280
10,0.0,,4.295853387634210
11,0.0,Automotive,4.041798941798940
12,0.0,Education,4.296634615384620
13,0.0,Entertainment,4.171428571428570
14,0.0,Finance,3.534615384615390
15,0.0,Food_Beverage,4.0764000000000000
16,0.0,Healthcare,4.502152080344330
17,0.0,Professional_serv,4.5760000000000000
18,0.0,Real_Estate,4.094323144104800
19,0.0,Retail_Shopping,4.220627802690580
20,0.0,Tourism,4.356195462478190
21,1.0,,4.291666666666670
22,1.0,Automotive,4.475
23,1.0,Food_Beverage,3.5500000000000000
24,1.0,Professional_serv,4.4
25,1.0,Tourism,4.5
26,2.0,,4.303086419753090
27,2.0,Automotive,4.344444444444440
28,2.0,Education,4.1
29,2.0,Entertainment,4.166666666666670
30,2.0,Finance,3.4816326530612200
31,2.0,Food_Beverage,4.247126436781610
32,2.0,Healthcare,4.406666666666670
33,2.0,Professional_serv,4.778571428571430
34,2.0,Real_Estate,4.8
35,2.0,Retail_Shopping,3.9
36,2.0,Tourism,4.466666666666670
37,3.0,,4.241860465116280
38,3.0,Automotive,4.003125
39,3.0,Finance,3.4000000000000000
40,3.0,Food_Beverage,3.775
41,3.0,Healthcare,2.7
42,3.0,Professional_serv,4.550000000000000
43,3.0,Retail_Shopping,4.7
44,3.0,Tourism,4.34
45,4.0,,5.0
46,4.0,Automotive,4.200000000000000
47,4.0,Tourism,4.4
48,5.0,,4.466666666666670
49,5.0,Automotive,4.225
50,5.0,Education,3.9
51,5.0,Food_Beverage,4.7
52,5.0,Healthcare,4.825
53,5.0,Tourism,4.655555555555560
54,6.0,,4.307407407407410
55,6.0,Automotive,4.475675675675680
56,6.0,Food_Beverage,4.2
57,6.0,Healthcare,4.528571428571430
58,6.0,Professional_serv,4.5
59,6.0,Retail_Shopping,4.0200000000000000
60,6.0,Tourism,3.4
61,7.0,,4.4
62,7.0,Retail_Shopping,5.0
63,7.0,Tourism,4.1
64,8.0,,4.8
65,8.0,Automotive,4.85
66,8.0,Education,4.65
67,8.0,Food_Beverage,4.5
68,8.0,Healthcare,4.1
69,8.0,Tourism,4.0
70,9.0,,4.68
71,9.0,Education,4.15
72,9.0,Food_Beverage,3.4333333333333300
73,9.0,Healthcare,4.800000000000000
74,10.0,,4.566666666666670
75,10.0,Education,4.4
76,10.0,Food_Beverage,4.8
77,10.0,Retail_Shopping,3.6
78,10.0,Tourism,4.6000000000000000
79,11.0,,4.3
80,11.0,Food_Beverage,4.5
81,11.0,Tourism,4.375
82,12.0,,4.4
83,12.0,Automotive,4.7
84,13.0,,4.626666666666670
85,13.0,Automotive,4.73125
86,13.0,Finance,5.0
87,13.0,Food_Beverage,4.6000000000000000
88,14.0,Automotive,4.1000000000000000
89,15.0,,4.425
90,15.0,Automotive,4.8
91,15.0,Finance,4.65
92,15.0,Food_Beverage,4.65
93,16.0,,4.5
94,16.0,Automotive,4.8
95,16.0,Professional_serv,5.0
96,17.0,,4.295
97,17.0,Automotive,4.222222222222220
98,17.0,Education,4.1
99,17.0,Finance,3.266666666666670
100,17.0,Food_Beverage,4.5600000000000000
101,17.0,Healthcare,4.36
102,17.0,Retail_Shopping,3.8600000000000000
103,17.0,Tourism,4.633333333333330
104,18.0,,4.4
105,18.0,Food_Beverage,3.0
106,19.0,,4.075
107,20.0,,4.527450980392160
108,20.0,Automotive,4.306060606060610
109,20.0,Finance,2.825
110,20.0,Food_Beverage,4.33
111,20.0,Healthcare,4.95
112,20.0,Professional_serv,4.86
113,20.0,Tourism,3.5666666666666700
114,21.0,,4.7
115,21.0,Automotive,4.75
116,22.0,,4.65
117,22.0,Automotive,4.05
118,22.0,Education,4.1
119,22.0,Food_Beverage,4.433333333333330
120,22.0,Healthcare,4.58
121,22.0,Retail_Shopping,4.1
122,22.0,Tourism,4.6
123,23.0,,4.640000000000000
124,23.0,Automotive,4.5
125,23.0,Education,3.8
126,23.0,Food_Beverage,3.966666666666670
127,23.0,Healthcare,3.8
128,23.0,Retail_Shopping,4.1
129,23.0,Tourism,4.9
130,24.0,,4.2384615384615400
131,24.0,Automotive,5.0
132,24.0,Finance,3.2
133,24.0,Food_Beverage,4.5
134,24.0,Healthcare,4.9
135,24.0,Professional_serv,4.7
136,24.0,Tourism,4.633333333333330
137,25.0,,4.422222222222220
138,25.0,Automotive,4.6
139,25.0,Finance,4.1
140,25.0,Food_Beverage,4.533333333333330
141,25.0,Professional_serv,4.5
142,25.0,Tourism,4.533333333333330
143,26.0,,4.333333333333330
144,26.0,Finance,3.133333333333330
145,26.0,Food_Beverage,4.0
146,27.0,,4.125
147,27.0,Education,5.0
148,27.0,Finance,4.050000000000000
149,27.0,Healthcare,3.788888888888890
150,27.0,Tourism,3.8
151,28.0,,3.9
152,28.0,Automotive,5.0
153,28.0,Finance,4.0
154,28.0,Tourism,4.200000000000000
155,29.0,,4.5
156,29.0,Automotive,4.1
157,29.0,Finance,2.5
158,29.0,Professional_serv,4.4
159,30.0,,4.475
160,30.0,Education,3.5
161,30.0,Finance,3.5
162,30.0,Food_Beverage,4.6
163,31.0,,3.6
164,31.0,Education,4.4
165,31.0,Finance,3.2
166,32.0,,3.9
167,32.0,Automotive,4.5
168,32.0,Entertainment,4.0
169,32.0,Finance,2.9
170,32.0,Food_Beverage,4.24
171,32.0,Healthcare,2.0
172,32.0,Retail_Shopping,4.2
173,32.0,Tourism,4.2
174,33.0,,4.4
175,33.0,Automotive,4.3
176,33.0,Finance,2.6
177,34.0,,4.246666666666670
178,34.0,Automotive,4.133333333333330
179,34.0,Entertainment,4.2
180,34.0,Finance,3.22
181,34.0,Food_Beverage,4.34
182,34.0,Healthcare,4.0
183,34.0,Tourism,3.866666666666670
184,35.0,,4.4
185,35.0,Automotive,3.5
186,35.0,Finance,3.0
187,35.0,Healthcare,4.4
188,36.0,,4.554545454545460
189,36.0,Automotive,4.3
190,36.0,Education,4.3
191,36.0,Finance,3.375
192,36.0,Food_Beverage,3.5
193,36.0,Healthcare,4.0
194,36.0,Tourism,4.225
195,37.0,,4.4000000000000000
196,37.0,Automotive,4.5
197,37.0,Food_Beverage,4.6
198,37.0,Healthcare,4.4000000000000000
199,37.0,Retail_Shopping,4.133333333333330
200,37.0,Tourism,4.300000000000000
201,38.0,,4.6000000000000000
202,38.0,Automotive,4.355555555555560
203,38.0,Education,4.404
204,38.0,Healthcare,4.933333333333330
205,38.0,Tourism,4.0
206,39.0,,4.833333333333330
207,39.0,Automotive,4.300000000000000
208,39.0,Finance,4.8
209,39.0,Food_Beverage,4.8
210,39.0,Healthcare,4.95
211,39.0,Tourism,3.8
212,40.0,,4.566666666666670
213,40.0,Automotive,4.4
214,40.0,Food_Beverage,4.2
215,40.0,Healthcare,4.4
216,40.0,Tourism,4.066666666666670
217,41.0,,4.228571428571430
218,41.0,Automotive,4.4
219,41.0,Finance,4.7
220,41.0,Food_Beverage,3.9
221,42.0,,4.300000000000000
222,43.0,,4.5
223,43.0,Finance,4.6
224,43.0,Tourism,3.9
225,44.0,,4.4
226,44.0,Automotive,4.1
227,44.0,Finance,3.3
228,45.0,,4.4
229,45.0,Automotive,4.0
230,45.0,Tourism,4.45
231,46.0,Food_Beverage,4.6
232,46.0,Retail_Shopping,4.4
233,46.0,Tourism,4.6
234,47.0,,3.9000000000000000
235,47.0,Tourism,4.45
236,48.0,,4.200000000000000
237,48.0,Food_Beverage,4.8
238,48.0,Healthcare,5.0
239,48.0,Retail_Shopping,5.0
240,48.0,Tourism,4.35
241,49.0,,4.575
242,50.0,,4.55
243,50.0,Food_Beverage,4.7
244,51.0,,4.533333333333330
245,51.0,Healthcare,4.2
246,52.0,,4.666666666666670
247,52.0,Education,4.1
248,52.0,Tourism,4.4
249,53.0,,4.5
250,53.0,Automotive,4.1
251,54.0,,4.6
252,54.0,Finance,4.7
253,54.0,Food_Beverage,4.5
254,55.0,,5.0
255,55.0,Food_Beverage,3.4
256,55.0,Tourism,4.2
257,56.0,Automotive,3.7
258,56.0,Finance,1.0
259,56.0,Retail_Shopping,4.4
260,57.0,Automotive,4.2
261,57.0,Finance,3.85
262,57.0,Food_Beverage,5.0
263,57.0,Healthcare,4.8
264,58.0,,5.0
265,58.0,Automotive,4.1
266,58.0,Food_Beverage,4.5
267,59.0,,2.3
268,59.0,Automotive,4.2
269,59.0,Healthcare,4.6
270,60.0,Automotive,4.2
271,60.0,Finance,3.2
272,60.0,Food_Beverage,3.9
273,61.0,,4.425
274,61.0,Food_Beverage,4.766666666666670
275,62.0,,4.8
276,62.0,Healthcare,5.0
277,62.0,Tourism,4.6
278,63.0,,4.46
279,63.0,Automotive,4.4
280,63.0,Finance,3.2
281,63.0,Food_Beverage,4.333333333333330
282,63.0,Healthcare,4.75
283,64.0,,4.466666666666670
284,65.0,,3.9
285,65.0,Finance,1.0
286,65.0,Food_Beverage,4.4
287,65.0,Healthcare,3.7
288,65.0,Tourism,4.8
289,66.0,,4.725
290,66.0,Tourism,4.550000000000000
291,67.0,,4.12
292,68.0,,4.25
293,68.0,Food_Beverage,5.0
294,69.0,,4.9
295,69.0,Finance,3.0
296,69.0,Food_Beverage,4.0
297,69.0,Tourism,4.4
298,70.0,,4.4
299,70.0,Food_Beverage,4.266666666666670
300,71.0,,4.45
301,71.0,Education,5.0
302,71.0,Food_Beverage,4.6
303,72.0,,4.4
304,72.0,Tourism,4.65
305,73.0,,4.6
306,73.0,Professional_serv,4.4
307,74.0,,4.6000000000000000
308,74.0,Professional_serv,4.4
309,75.0,,4.9
310,75.0,Food_Beverage,3.5
311,75.0,Healthcare,4.7
312,76.0,,4.5
313,76.0,Automotive,4.4
314,76.0,Food_Beverage,4.7
315,76.0,Tourism,4.1
316,77.0,,4.7
317,77.0,Food_Beverage,5.0
318,77.0,Retail_Shopping,4.8
319,78.0,,4.3
320,78.0,Food_Beverage,4.0
321,78.0,Healthcare,3.2
322,78.0,Tourism,4.3
323,79.0,Automotive,5.0
324,79.0,Healthcare,4.85
325,79.0,Tourism,4.05
326,80.0,Automotive,3.6750000000000000
327,81.0,,4.2
328,81.0,Healthcare,4.700000000000000
329,82.0,Tourism,4.666666666666670
330,83.0,,4.6
331,83.0,Education,4.4
332,83.0,Tourism,3.8